city_id,up_ad_name,up_ad_code,cityname,adcode,citycode
210423_0413,,,清原满族自治县,210423,0413
210500_0414,,,本溪市,210500,0414
210502_0414,,,平山区,210502,0414
210503_0414,,,溪湖区,210503,0414
210504_0414,,,明山区,210504,0414
210505_0414,,,南芬区,210505,0414
210521_0414,,,本溪满族自治县,210521,0414
210522_0414,,,桓仁满族自治县,210522,0414
210600_0415,,,丹东市,210600,0415
210602_0415,,,元宝区,210602,0415
210603_0415,,,振兴区,210603,0415
210604_0415,,,振安区,210604,0415
210624_0415,,,宽甸满族自治县,210624,0415
210681_0415,,,东港市,210681,0415
210682_0415,,,凤城市,210682,0415
210700_0416,,,锦州市,210700,0416
210702_0416,,,古塔区,210702,0416
210703_0416,,,凌河区,210703,0416
210711_0416,,,太和区,210711,0416
210726_0416,,,黑山县,210726,0416
210727_0416,,,义县,210727,0416
210781_0416,,,凌海市,210781,0416
210782_0416,,,北镇市,210782,0416
210800_0417,,,营口市,210800,0417
210802_0417,,,站前区,210802,0417
210803_0417,,,西市区,210803,0417
210804_0417,,,鲅鱼圈区,210804,0417
210811_0417,,,老边区,210811,0417
210881_0417,,,盖州市,210881,0417
210882_0417,,,大石桥市,210882,0417
210900_0418,,,阜新市,210900,0418
210902_0418,,,海州区,210902,0418
210903_0418,,,新邱区,210903,0418
210904_0418,,,太平区,210904,0418
210905_0418,,,清河门区,210905,0418
210911_0418,,,细河区,210911,0418
210921_0418,,,阜新蒙古族自治县,210921,0418
210922_0418,,,彰武县,210922,0418
211000_0419,,,辽阳市,211000,0419
211002_0419,,,白塔区,211002,0419
211003_0419,,,文圣区,211003,0419
211004_0419,,,宏伟区,211004,0419
211005_0419,,,弓长岭区,211005,0419
211011_0419,,,太子河区,211011,0419
211021_0419,,,辽阳县,211021,0419
211081_0419,,,灯塔市,211081,0419
211100_0427,,,盘锦市,211100,0427
211102_0427,,,双台子区,211102,0427
211103_0427,,,兴隆台区,211103,0427
211104_0427,,,大洼区,211104,0427
211122_0427,,,盘山县,211122,0427
211200_0410,,,铁岭市,211200,0410
211202_0410,,,银州区,211202,0410
211204_0410,,,清河区,211204,0410
211221_0410,,,铁岭县,211221,0410
211223_0410,,,西丰县,211223,0410
211224_0410,,,昌图县,211224,0410
211281_0410,,,调兵山市,211281,0410
211282_0410,,,开原市,211282,0410
211300_0421,,,朝阳市,211300,0421
211302_0421,,,双塔区,211302,0421
211303_0421,,,龙城区,211303,0421
211321_0421,,,朝阳县,211321,0421
211322_0421,,,建平县,211322,0421
211324_0421,,,喀喇沁左翼蒙古族自治县,211324,0421
211381_0421,,,北票市,211381,0421
211382_0421,,,凌源市,211382,0421
211400_0429,,,葫芦岛市,211400,0429
211402_0429,,,连山区,211402,0429
211403_0429,,,龙港区,211403,0429
211404_0429,,,南票区,211404,0429
211421_0429,,,绥中县,211421,0429
211422_0429,,,建昌县,211422,0429
211481_0429,,,兴城市,211481,0429
220000_\N,,,吉林省,220000,\N
220100_0431,,,长春市,220100,0431
220102_0431,,,南关区,220102,0431
220103_0431,,,宽城区,220103,0431
220104_0431,,,朝阳区,220104,0431
220105_0431,,,二道区,220105,0431
220106_0431,,,绿园区,220106,0431
220112_0431,,,双阳区,220112,0431
220113_0431,,,九台区,220113,0431
220122_0431,,,农安县,220122,0431
220182_0431,,,榆树市,220182,0431
220183_0431,,,德惠市,220183,0431
220184_0431,,,公主岭市,220184,0431
220200_0432,,,吉林市,220200,0432
220202_0432,,,昌邑区,220202,0432
220203_0432,,,龙潭区,220203,0432
220204_0432,,,船营区,220204,0432
220211_0432,,,丰满区,220211,0432
220221_0432,,,永吉县,220221,0432
220281_0432,,,蛟河市,220281,0432
220282_0432,,,桦甸市,220282,0432
220283_0432,,,舒兰市,220283,0432
220284_0432,,,磐石市,220284,0432
220300_0434,,,四平市,220300,0434
220302_0434,,,铁西区,220302,0434
220303_0434,,,铁东区,220303,0434
220322_0434,,,梨树县,220322,0434
220323_0434,,,伊通满族自治县,220323,0434
220382_0434,,,双辽市,220382,0434
220400_0437,,,辽源市,220400,0437
220402_0437,,,龙山区,220402,0437
220403_0437,,,西安区,220403,0437
220421_0437,,,东丰县,220421,0437
220422_0437,,,东辽县,220422,0437
220500_0435,,,通化市,220500,0435
220502_0435,,,东昌区,220502,0435
220503_0435,,,二道江区,220503,0435
220521_0435,,,通化县,220521,0435
220523_0435,,,辉南县,220523,0435
220524_0435,,,柳河县,220524,0435
220581_0435,,,梅河口市,220581,0435
220582_0435,,,集安市,220582,0435
220600_0439,,,白山市,220600,0439
220602_0439,,,浑江区,220602,0439
220605_0439,,,江源区,220605,0439
220621_0439,,,抚松县,220621,0439
220622_0439,,,靖宇县,220622,0439
220623_0439,,,长白朝鲜族自治县,220623,0439
220681_0439,,,临江市,220681,0439
220700_0438,,,松原市,220700,0438
220702_0438,,,宁江区,220702,0438
220721_0438,,,前郭尔罗斯蒙古族自治县,220721,0438
220722_0438,,,长岭县,220722,0438
220723_0438,,,乾安县,220723,0438
220781_0438,,,扶余市,220781,0438
220800_0436,,,白城市,220800,0436
220802_0436,,,洮北区,220802,0436
220821_0436,,,镇赉县,220821,0436
220822_0436,,,通榆县,220822,0436
220881_0436,,,洮南市,220881,0436
220882_0436,,,大安市,220882,0436
222400_1433,,,延边朝鲜族自治州,222400,1433
222401_1433,,,延吉市,222401,1433
222402_1433,,,图们市,222402,1433
222403_1433,,,敦化市,222403,1433
222404_1433,,,珲春市,222404,1433
222405_1433,,,龙井市,222405,1433
222406_1433,,,和龙市,222406,1433
222424_1433,,,汪清县,222424,1433
222426_1433,,,安图县,222426,1433
230000_\N,,,黑龙江省,230000,\N
230100_0451,,,哈尔滨市,230100,0451
230102_0451,,,道里区,230102,0451
230103_0451,,,南岗区,230103,0451
230104_0451,,,道外区,230104,0451
230108_0451,,,平房区,230108,0451
230109_0451,,,松北区,230109,0451
230110_0451,,,香坊区,230110,0451
230111_0451,,,呼兰区,230111,0451
230112_0451,,,阿城区,230112,0451
230113_0451,,,双城区,230113,0451
230123_0451,,,依兰县,230123,0451
230124_0451,,,方正县,230124,0451
230125_0451,,,宾县,230125,0451
230126_0451,,,巴彦县,230126,0451
230127_0451,,,木兰县,230127,0451
230128_0451,,,通河县,230128,0451
230129_0451,,,延寿县,230129,0451
230183_0451,,,尚志市,230183,0451
230184_0451,,,五常市,230184,0451
230200_0452,,,齐齐哈尔市,230200,0452
230202_0452,,,龙沙区,230202,0452
230203_0452,,,建华区,230203,0452
230204_0452,,,铁锋区,230204,0452
230205_0452,,,昂昂溪区,230205,0452
230206_0452,,,富拉尔基区,230206,0452
230207_0452,,,碾子山区,230207,0452
230208_0452,,,梅里斯达斡尔族区,230208,0452
230221_0452,,,龙江县,230221,0452
230223_0452,,,依安县,230223,0452
230224_0452,,,泰来县,230224,0452
230225_0452,,,甘南县,230225,0452
230227_0452,,,富裕县,230227,0452
230229_0452,,,克山县,230229,0452
230230_0452,,,克东县,230230,0452
230231_0452,,,拜泉县,230231,0452
230281_0452,,,讷河市,230281,0452
230300_0467,,,鸡西市,230300,0467
230302_0467,,,鸡冠区,230302,0467
230303_0467,,,恒山区,230303,0467
230304_0467,,,滴道区,230304,0467
230305_0467,,,梨树区,230305,0467
230306_0467,,,城子河区,230306,0467
230307_0467,,,麻山区,230307,0467
230321_0467,,,鸡东县,230321,0467
230381_0467,,,虎林市,230381,0467
230382_0467,,,密山市,230382,0467
230400_0468,,,鹤岗市,230400,0468
230402_0468,,,向阳区,230402,0468
230403_0468,,,工农区,230403,0468
230404_0468,,,南山区,230404,0468
230405_0468,,,兴安区,230405,0468
230406_0468,,,东山区,230406,0468
230407_0468,,,兴山区,230407,0468
230421_0468,,,萝北县,230421,0468
230422_0468,,,绥滨县,230422,0468
230500_0469,,,双鸭山市,230500,0469
230502_0469,,,尖山区,230502,0469
230503_0469,,,岭东区,230503,0469
230505_0469,,,四方台区,230505,0469
230506_0469,,,宝山区,230506,0469
230521_0469,,,集贤县,230521,0469
230522_0469,,,友谊县,230522,0469
230523_0469,,,宝清县,230523,0469
230524_0469,,,饶河县,230524,0469
230600_0459,,,大庆市,230600,0459
230602_0459,,,萨尔图区,230602,0459
230603_0459,,,龙凤区,230603,0459
230604_0459,,,让胡路区,230604,0459
230605_0459,,,红岗区,230605,0459
